PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-11,,1,1,"Wallace, William ",1000223433,Right,MAR_VIN,"Dimartini, Michael",,Undefined,BRE_WHI1,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,87a614f0-4711-11f0-9b77-4d3a2eb8c965,,,,,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,,,,,,v3,,6096,,"Killelea, Jack",1000092026,Right,MAR_VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-06-11,,2,1,"Wallace, William ",1000223433,Right,MAR_VIN,"Wentz, Dalton",,Undefined,BRE_WHI1,Undefined,1,Top,1,0,0,Fastball,,InPlay,Undefined,LineDrive,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,aa6fb8b0-4711-11f0-9b77-4d3a2eb8c965,,,,,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,,,,,,v3,,6096,,"Killelea, Jack",1000092026,Right,MAR_VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-06-11,,3,1,"Wallace, William ",1000223433,Right,MAR_VIN,"Paulson, Erik",,Undefined,BRE_WHI1,Undefined,1,Top,2,0,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,b569eec0-4711-11f0-9b77-4d3a2eb8c965,,,,,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,,,,,,v3,,6096,,"Killelea, Jack",1000092026,Right,MAR_VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-06-11,18:19:02,1,1,"Foster, Elijah",,Undefined,BRE_WHI1,"Lybrook, William",831901,Right,MAR_VIN,Undefined,1,Bottom,0,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.83973,1.483667,0.273879,2237.833692,89.946681,9:00,5.35309,2.50545,6.48894,-43.75975,1.42536,-13.73694,3.06891,1.61215,71.18899,-6.690532,-2.220886,0.483804,,,,,,,,,,,,7.20587,0.81799,-2.51949,50,5.43876,-0.05974,-113.15653,1.69098,9.29997,21.53592,-31.11835,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,144a9160-4712-11f0-9b77-4d3a2eb8c965,77.90857,,,6.65075,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:19:02,2025-06-11T18:19:01.7050000-04:00,2025-06-11T22:19:01.7050000Z,,v3,,6096,,"Dimartini, Michael",,Undefined,BRE_WHI1,77579395-3be5-4005-80b0-469ffae4b9bf,54.01136,-113.91742,10.76796,5.3596,2.79042,-15.55918,-2.51158,-0.38831,4.64999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-11,18:19:37,1,2,"Foster, Elijah",,Undefined,BRE_WHI1,"Lybrook, William",831901,Right,MAR_VIN,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Single,1,0,,90.51928,-2.282795,-1.560124,2418.588248,200.003305,12:45,5.4614,2.08223,7.37297,-11.28808,20.75777,7.20493,2.45828,1.27403,83.18536,-4.526491,-0.23068,0.407434,61.85658,39.738867,2.142333,4188.193974,109.35707,54.68346,11.87543,200.47048,199.36331,10.100947,3.90959,-4.33221,12.17823,-1.99825,50,5.3324,3.34817,-131.75338,-5.43245,-7.64608,26.92482,-10.68027,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,298dd5f0-4712-11f0-9b77-4d3a2eb8c965,92.51181,54.71434,,7.33392,,,,1.4632,2.51905,-1.27672,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:19:37,2025-06-11T18:19:37.3920000-04:00,2025-06-11T22:19:37.3920000Z,Popup,v3,,6096,,"Dimartini, Michael",,Undefined,BRE_WHI1,df80cda5-34ee-4d42-bf41-4dc92786282a,53.12884,-132.39124,13.46241,5.4581,-5.17943,-5.34013,-2.07972,3.5293,-3.82304,204.666109,1.46476,69.66959,-10.27141,2.02023,0.07067,-0.23431,0.0799,-0.01168,0.00064,2.51799,58.02411,-17.6284,1.18067,-0.29247,0.04508,0.01154,-0.00503,0.00047,-1.27707,2.61854,2.9038,-0.35528,-0.08552,0.0792,-0.02503,0.00369,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-06-11,18:20:19,2,1,"Foster, Elijah",,Undefined,BRE_WHI1,"Binderup, Blake",702713,Right,MAR_VIN,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.53356,-3.414846,-2.394744,2429.327642,199.40725,12:45,5.52224,2.17245,7.19221,-13.31839,19.09682,6.37241,1.31277,0.53302,83.14549,-6.018675,-1.22376,0.409776,,,,,,,,,,,,-4.09799,11.54276,-2.03533,50,5.31954,5.28234,-131.52739,-8.11739,-7.19494,27.30393,-11.90813,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,42132620-4712-11f0-9b77-4d3a2eb8c965,91.98312,,,7.38807,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:20:19,2025-06-11T18:20:18.5460000-04:00,2025-06-11T22:20:18.5460000Z,,v3,,6096,,"Dimartini, Michael",,Undefined,BRE_WHI1,496db747-82c6-45f7-9594-321cbccb2591,53.30961,-132.21265,13.65197,5.51952,-7.81852,-5.95406,-2.17017,5.46292,-3.59747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-11,18:20:42,2,2,"Foster, Elijah",,Undefined,BRE_WHI1,"Binderup, Blake",702713,Right,MAR_VIN,Undefined,1,Bottom,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.04674,0.458496,-1.85106,2303.659103,113.53305,9:45,5.32042,2.61557,6.70928,-34.30651,5.47709,-10.08878,2.88095,0.08193,76.09245,-5.959928,-3.688129,0.453966,,,,,,,,,,,,4.86213,3.14244,-2.48934,50,5.33748,4.20516,-119.43057,0.00604,7.09468,20.79064,-27.58872,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,50306e20-4712-11f0-9b77-4d3a2eb8c965,83.0292,,,5.95429,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:20:42,2025-06-11T18:20:42.2860000-04:00,2025-06-11T22:20:42.2860000Z,,v3,,6096,,"Dimartini, Michael",,Undefined,BRE_WHI1,66bb3d54-55ad-4950-bc71-b7a248415b81,53.79265,-120.08899,10.39532,5.32345,0.87974,-13.79436,-2.61896,3.98048,3.54734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-11,18:21:02,2,3,"Foster, Elijah",,Undefined,BRE_WHI1,"Binderup, Blake",702713,Right,MAR_VIN,Undefined,1,Bottom,1,0,2,Curveball,Slider,InPlay,Undefined,GroundBall,Out,2,0,,77.90045,0.306986,-0.484635,2274.137695,91.401117,9:00,5.22876,2.39811,6.68669,-42.68487,1.6698,-15.99623,1.95248,0.62181,72.10647,-7.652133,-3.402142,0.479337,89.81699,-5.019752,-32.119295,,,,,26.04527,22.99821,-30.961368,0.182746,8.38985,1.14677,-2.35969,50,5.23222,1.46635,-113.44532,-0.53205,10.97162,20.07958,-30.67439,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,5c1b1eb0-4712-11f0-9b77-4d3a2eb8c965,78.63451,2.10912,,5.79398,,,,1.99737,2.10912,-0.63244,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:21:02,2025-06-11T18:21:02.1310000-04:00,2025-06-11T22:21:02.1310000Z,GroundBall,v3,,6096,,"Dimartini, Michael",,Undefined,BRE_WHI1,0eaf4f6d-ce55-4e00-b74a-1a91ff3d0849,53.81723,-114.11896,10.03979,5.23281,0.49703,-15.3372,-2.40272,1.09827,5.48581,180,1.99314,111.28487,,,,,,,,2.10956,-11.5413,,,,,,,,-0.62978,-69.8611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-06-11,18:23:14,1,1,"Wallace, William ",1000223433,Right,MAR_VIN,"Paulson, Erik",,Undefined,BRE_WHI1,Undefined,2,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7041,0.580953,-3.765561,2227.828321,207.707235,1:00,6.22854,2.49172,6.62608,-17.10788,17.56025,8.64193,5.33603,-0.24121,80.74728,-2.723988,-2.198631,0.423776,,,,,,,,,,,,-5.56886,9.3793,-2.23912,50,6.26042,8.13295,-128.70861,0.8956,-9.32674,27.11067,-16.46562,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,aaab93c0-4712-11f0-9b77-4d3a2eb8c965,88.94419,,,7.95682,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:23:14,2025-06-11T18:23:14.1260000-04:00,2025-06-11T22:23:14.1260000Z,,v3,,6096,,"Killelea, Jack",1000092026,Right,MAR_VIN,ffb95ee7-b513-4abb-9e54-e685299b0950,53.87238,-129.5217,13.55534,6.22616,1.38943,-8.23281,-2.48723,8.41268,-4.66337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-11,18:23:29,1,2,"Wallace, William ",1000223433,Right,MAR_VIN,"Paulson, Erik",,Undefined,BRE_WHI1,Undefined,2,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01431,-0.291025,-3.503663,2255.789809,215.398744,1:15,5.87238,2.93671,6.25439,-18.42942,15.54312,10.30308,4.06771,0.56023,82.37625,-3.79632,-1.647035,0.419503,,,,,,,,,,,,-6.26158,8.45371,-2.68097,50,5.84145,7.57644,-130.65476,-1.19107,-10.85993,26.66442,-17.51221,MAR_VIN,BRE_WHI1,SharkTank,NECBL,NECL,20250611-SharkTank-1,b3560d70-4712-11f0-9b77-4d3a2eb8c965,89.85019,,,7.63807,,,,,,,f81363b8-1402-4865-8fc6-3423eec7ea98,2025-06-11,22:23:29,2025-06-11T18:23:28.6860000-04:00,2025-06-11T22:23:28.6860000Z,,v3,,6096,,"Killelea, Jack",1000092026,Right,MAR_VIN,ffbd711d-6058-495d-b937-cf5a99d9e988,54.24554,-131.51835,13.33221,5.87085,-0.62389,-8.7561,-2.93205,7.92817,-5.42996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
